Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2014,AZ,NL,60,0,1,3.86,3,3,0,14.0,13,6,6,0,8,10,1.50
2015,AZ,NL,306,5,1,2.76,66,0,2,75.0,56,23,23,3,30,58,1.15
2016,AZ,NL,98,0,1,6.75,32,0,0,22.2,22,18,17,1,11,28,1.46
2017,AZ,NL,221,1,0,3.51,71,0,0,51.1,48,21,20,5,21,61,1.34
2018,AZ,NL,211,1,6,3.10,77,0,0,49.1,41,18,17,0,25,53,1.34
2019,AZ,NL,225,2,2,3.76,77,0,0,52.2,52,23,22,6,18,68,1.33
2020,AZ,NL,33,1,1,8.10,11,0,0,6.2,9,6,6,1,4,10,1.95
2020,CHC,NL,12,0,1,3.00,4,0,1,3.0,2,1,1,1,1,3,1.00
2020,2 Teams,,45,1,2,6.52,15,0,1,9.2,11,7,7,2,5,13,1.66
2021,CHC,NL,150,0,2,2.06,43,0,0,39.1,21,9,9,1,12,37,0.84
2021,OAK,AL,116,2,2,1.53,28,0,5,29.1,24,5,5,3,7,27,1.06
2021,2 Teams,,266,2,4,1.83,71,0,5,68.2,45,14,14,4,19,64,0.93
2022,DET,AL,243,2,3,2.83,64,0,3,57.1,48,26,18,5,19,67,1.17
