Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2011,HOU,NL,11,0,0,27.00,3,0,0,1.2,7,5,5,2,0,0,4.20
2012,HOU,NL,138,0,1,3.77,44,0,1,31.0,30,15,13,3,14,36,1.42
2013,HOU,AL,37,0,0,11.37,5,0,0,6.1,10,11,8,0,7,3,2.68
2013,WSH,NL,23,0,0,1.50,11,0,0,6.0,5,1,1,0,1,6,1.00
2013,2 Teams,,60,0,0,6.57,16,0,0,12.1,15,12,9,0,8,9,1.86
2014,WSH,NL,30,0,0,3.86,9,0,0,7.0,10,4,3,1,0,5,1.43
2015,WSH,NL,15,0,0,6.00,5,0,0,3.0,3,2,2,1,2,4,1.67
2015,TB,AL,174,4,1,2.09,61,0,1,43.0,37,11,10,3,12,43,1.14
2015,2 Teams,,189,4,1,2.35,66,0,1,46.0,40,13,12,4,14,47,1.17
2016,TB,AL,174,3,4,3.70,54,0,0,41.1,36,17,17,2,13,43,1.19
2017,TB,AL,21,1,1,12.00,9,0,0,3.0,7,5,4,3,4,0,3.67
2018,CWS,AL,106,2,0,2.84,33,0,1,25.1,19,9,8,1,13,28,1.26
2018,MIL,NL,34,0,0,1.13,15,0,0,8.0,7,1,1,0,3,6,1.25
2018,2 Teams,,140,2,0,2.43,48,0,1,33.1,26,10,9,1,16,34,1.26
