Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1987,NYY,AL,104,2,2,6.35,4,4,0,22.2,24,16,16,2,15,28,1.72
1988,NYY,AL,251,4,4,3.92,14,14,0,57.1,49,27,25,7,33,60,1.43
1989,NYY,AL,123,1,2,6.08,4,4,0,26.2,23,20,18,1,21,22,1.65
1989,TOR,AL,31,0,0,4.05,1,1,0,6.2,9,3,3,1,2,4,1.65
1989,2 Teams,,154,1,2,5.67,5,5,0,33.1,32,23,21,2,23,26,1.65
1990,TOR,AL,22,0,0,0.00,4,0,0,6.1,1,0,0,0,2,5,0.47
1991,TOR,AL,13,0,0,27.00,3,0,0,1.2,3,5,5,0,5,1,4.80
1992,TOR,AL,7,0,0,9.00,1,0,0,1.0,1,1,1,0,2,0,3.00
1993,TOR,AL,454,9,6,4.11,34,12,2,105.0,93,52,48,8,56,66,1.42
1994,TOR,AL,516,6,7,5.08,20,20,0,111.2,125,68,63,6,65,100,1.70
1995,TOR,AL,805,11,11,3.64,28,28,0,183.0,162,80,74,15,108,153,1.48
1996,FLA,NL,896,16,12,2.93,33,33,0,215.1,153,74,70,14,119,200,1.26
1997,FLA,NL,668,11,9,4.34,27,27,0,151.1,133,78,73,13,91,132,1.48
1998,NYM,NL,789,17,6,2.47,28,28,0,193.0,151,55,53,8,71,174,1.15
1999,NYM,NL,923,13,12,4.23,32,32,0,213.0,209,107,100,19,93,162,1.42
2000,NYM,NL,874,16,8,3.20,31,31,0,208.0,176,84,74,19,76,200,1.21
2001,NYM,NL,772,11,11,3.31,29,29,0,187.1,178,81,69,18,46,142,1.20
2002,NYM,NL,868,13,13,3.48,33,33,0,204.1,194,99,79,23,69,172,1.29
2003,NYM,NL,798,15,9,3.99,30,30,0,180.2,176,83,80,15,94,139,1.49
2004,NYM,NL,750,10,8,3.21,30,30,0,173.2,138,65,62,16,97,117,1.35
2005,FLA,NL,377,3,7,6.64,17,16,0,80.0,88,61,59,9,60,52,1.85
2005,NYY,AL,293,4,5,5.49,16,10,0,62.1,66,42,38,4,38,45,1.67
