Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2009,DET,AL,720,14,9,3.96,31,31,0,170.2,176,81,75,23,52,89,1.34
2010,DET,AL,700,10,12,4.92,27,27,0,162.2,188,96,89,18,38,84,1.39
2011,DET,AL,784,14,9,4.75,31,31,0,182.0,210,103,96,18,46,104,1.41
2012,DET,AL,783,10,12,4.59,31,31,0,176.1,226,101,90,16,44,107,1.53
2013,DET,AL,736,13,8,4.32,32,29,0,177.0,185,87,85,18,42,142,1.28
2014,DET,AL,840,15,13,3.43,32,31,0,204.2,211,89,78,18,41,129,1.23
2015,BOS,AL,737,9,15,4.92,28,28,0,172.0,196,103,94,25,38,149,1.36
2016,BOS,AL,890,22,4,3.15,33,33,0,223.0,193,85,78,23,32,189,1.01
2017,BOS,AL,885,11,17,4.65,33,33,0,203.1,236,125,105,38,48,181,1.40
2018,BOS,AL,808,17,7,4.28,33,33,0,191.1,177,97,91,27,48,190,1.18
2019,BOS,AL,768,14,12,5.52,32,32,0,174.1,198,114,107,31,45,143,1.39
