Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2008,OAK,AL,163,1,4,7.68,10,7,0,34.0,32,34,29,9,25,34,1.68
2009,OAK,AL,455,6,7,5.75,20,17,0,98.2,113,68,63,14,56,109,1.71
2010,OAK,AL,851,15,9,3.23,33,33,0,200.2,171,75,72,15,92,171,1.31
2011,OAK,AL,864,16,12,3.12,32,32,0,202.0,175,81,70,17,91,197,1.32
2012,WSH,NL,822,21,8,2.89,32,32,0,199.1,149,69,64,9,76,207,1.13
2013,WSH,NL,819,11,8,3.36,32,32,0,195.2,169,79,73,17,76,192,1.25
2014,WSH,NL,653,10,10,3.57,27,27,0,158.2,134,66,63,10,56,162,1.20
2015,WSH,NL,758,11,8,3.79,31,31,0,175.2,181,79,74,8,69,169,1.42
2016,WSH,NL,765,11,11,4.57,32,32,0,177.1,179,98,90,19,59,171,1.34
2017,WSH,NL,827,15,9,2.96,32,32,0,201.0,158,69,66,21,79,188,1.18
2018,WSH,NL,646,7,11,4.57,27,27,0,145.2,153,77,74,15,70,126,1.53
2018,MIL,NL,100,3,0,2.13,5,5,0,25.1,14,7,6,2,10,22,0.95
2018,2 Teams,,746,10,11,4.21,32,32,0,171.0,167,84,80,17,80,148,1.44
2019,MIL,NL,366,3,2,3.50,19,17,0,87.1,76,36,34,9,37,78,1.29
