Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2009,CWS,AL,82,1,1,3.38,6,2,0,18.2,16,9,7,3,9,14,1.34
2010,CWS,AL,71,1,1,6.32,3,3,0,15.2,17,11,11,1,11,14,1.79
2010,AZ,NL,301,7,1,1.69,11,11,0,79.2,51,15,15,7,16,70,0.84
2010,2 Teams,,372,8,2,2.45,14,14,0,95.1,68,26,26,8,27,84,1.00
2011,AZ,NL,921,16,12,3.49,33,33,0,222.0,217,98,86,17,50,169,1.20
2012,AZ,NL,202,3,2,7.35,9,9,0,45.1,62,37,37,9,12,37,1.63
2014,AZ,NL,13,0,1,13.50,3,0,0,2.2,4,4,4,0,0,2,1.50
2015,AZ,NL,290,4,3,3.86,64,1,4,67.2,64,34,29,7,25,71,1.32
2016,AZ,NL,268,3,2,5.22,70,0,5,60.1,65,40,35,6,22,58,1.44
2017,PIT,NL,271,2,7,4.38,71,0,0,61.2,57,34,30,7,33,66,1.46
2018,LAD,NL,197,3,2,4.11,40,1,0,46.0,38,25,21,6,18,44,1.22
2019,TOR,AL,207,6,3,3.00,45,1,2,48.0,38,18,16,5,23,48,1.27
2019,WSH,NL,97,3,0,1.44,24,0,6,25.0,18,7,4,3,4,23,0.88
2019,2 Teams,,304,9,3,2.47,69,1,8,73.0,56,25,20,8,27,71,1.14
2020,WSH,NL,92,3,2,6.10,21,0,10,20.2,15,15,14,6,11,28,1.26
2021,WSH,NL,127,4,1,2.20,31,0,0,32.2,23,9,8,4,7,48,0.92
2021,SD,NL,83,1,2,5.21,23,0,0,19.0,17,13,11,4,9,27,1.37
2021,2 Teams,,210,5,3,3.31,54,0,0,51.2,40,22,19,8,16,75,1.08
