Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2012,AZ,NL,454,6,8,4.54,22,17,1,107.0,117,56,54,14,25,86,1.33
2013,AZ,NL,860,14,8,3.41,32,32,0,208.1,189,81,79,19,54,178,1.17
2015,AZ,NL,357,6,5,3.60,16,16,0,85.0,91,34,34,9,17,78,1.27
2016,AZ,NL,701,5,13,5.15,36,24,1,155.2,177,109,89,24,66,131,1.56
2017,AZ,NL,826,14,13,4.03,33,32,0,189.2,208,97,85,26,61,178,1.42
2018,AZ,NL,800,11,7,3.15,33,33,0,200.0,162,70,70,15,48,246,1.05
2019,WSH,NL,835,14,7,3.25,33,33,0,202.0,169,81,73,24,70,238,1.18
2020,WSH,NL,295,2,7,4.66,11,11,0,65.2,85,35,34,10,18,60,1.57
2021,WSH,NL,751,9,16,5.82,31,31,0,171.2,192,114,111,37,60,143,1.47
2022,WSH,NL,713,6,19,6.31,31,31,0,152.2,210,119,107,27,49,128,1.70
