"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
96,596103,"Slater, Austin",1326,7.2,0.25,0.313,0.333,0.563,0.425,0.442,0.289,4,16,85,5,2317,90.2,90.29,14,36,60,0.09999999999999432,6.3,103,151,114,147,303,322,290
60,573131,"Ruf, Darin",1620,3.7,0.25,0.083,0.273,0.333,0.315,0.367,0.293,3,12,86.7,20.4,2240,87.8,87.41,1,21,39,-0.3999999999999915,6.06,110,153,122,145,303,328,293
51,607054,"Peterson, Jace",1420,3.6,0,0,0,0,0.128,0.239,0.14,0,9,81.1,1.4,2296,91.2,91.27,4,24,27,0.09999999999999432,6.37,112,144,105,149,287,314,294
51,664247,"Garlick, Kyle",602,8.5,0.25,0,0.5,0.25,0.318,0.246,0.114,2,8,86.4,7.3,2380,90.6,90.54,10,25,26,-0.09999999999999432,6.25,107,150,116,145,299,330,294
46,592626,"Pederson, Joc",1685,2.7,0.3,0,0.429,0.3,0.304,0.226,0.194,3,10,87.9,-1.3,2275,90.7,90.97,8,27,19,0.29999999999999716,6.45,108,161,127,143,296,325,300
44,664238,"Moore, Dylan",1133,3.9,0.222,0,0.5,0.222,0.246,0.308,0.245,2,9,92.1,14.8,2491,86.1,85.68,7,17,27,-0.3999999999999915,6.1,102,149,110,147,292,318,281
42,664731,"Higgins, P.J.",916,4.6,0.1,0.1,0.143,0.2,0.126,0.106,0.11,1,10,72.2,1.4,2220,89.7,89.73,6,21,21,0,6.4,108,144,115,141,296,315,280
39,608336,"Gallo, Joey",1725,2.3,0,0,0,0,0.295,0.427,0.318,0,3,79.4,0,2323,87.4,87.53,6,16,23,0.09999999999999432,6.46,118,178,111,147,292,319,299
38,663728,"Raleigh, Cal",1642,2.3,0.2,0.4,0.25,0.6,0.333,0.346,0.185,2,10,96,27.2,2333,88.3,87.92,10,22,16,-0.29999999999999716,6.12,115,159,115,151,291,321,295
37,666915,"Dalbec, Bobby",1475,2.5,0.125,0.375,0,0.5,0.259,0.218,0.109,1,8,99.2,49.5,2355,89.2,89.13,8,20,17,-0.10000000000000853,6.38,102,145,114,139,291,316,295
36,605170,"Caratini, Victor",1246,2.9,0,0,0,0,0.098,0.158,0.075,0,6,76.5,-22.8,2317,91.6,91.19,1,9,27,-0.3999999999999915,6.11,115,154,106,148,293,314,297
36,680700,"Palacios, Richie",513,7,0.167,0.167,0.2,0.333,0.18,0.287,0.161,1,6,83.2,28.6,2291,90.5,90.55,5,16,20,0.09999999999999432,6.21,107,149,106,149,289,318,291
35,606992,"Haase, Eric",1376,2.5,0.333,0,0.5,0.333,0.295,0.321,0.338,2,6,96.8,12.5,2374,89.9,89.99,6,21,14,0.09999999999999432,6.37,98,180,111,147,295,325,300
35,446334,"Longoria, Evan",1187,2.9,0.2,0,0.333,0.2,0.225,0.306,0.19,1,5,92.9,-4.3,2274,90.7,90.87,9,18,17,0.20000000000000284,6.33,109,150,118,145,302,326,290
33,527038,"Flores, Wilmer",2426,1.4,0.333,0,0.667,0.333,0.351,0.338,0.279,2,6,84.4,-3.7,2381,93.5,93.29,6,16,17,-0.20000000000000284,6.15,105,146,118,139,302,326,289
32,573262,"Yastrzemski, Mike",2349,1.4,0,0,0,0,0,0.049,0.058,0,7,84.3,33.5,2245,90.9,91.47,7,16,16,0.5999999999999943,6.61,100,149,107,142,293,320,301
32,664774,"Wade Jr., LaMonte",992,3.2,0,0,0,0,0.197,0.281,0.123,0,5,77.3,4,2193,90.2,90.45,1,11,21,0.20000000000000284,6.35,120,156,111,152,286,319,298
31,649966,"Urías, Luis",1974,1.6,0.4,0.6,0.333,1,0.613,0.473,0.319,2,5,85.4,15,2242,90.8,90.48,1,10,21,-0.29999999999999716,6.11,105,141,111,138,285,309,285
31,543305,"Hicks, Aaron",2017,1.5,0,0,0,0,0.275,0.575,0.252,0,3,103,28,2209,90.9,90.97,2,16,15,0.09999999999999432,6.35,121,176,123,153,287,329,292
30,640492,"Azocar, José",768,3.9,0.5,0.167,0.6,0.667,0.531,0.512,0.506,3,6,89.8,14.8,2285,91.1,91.55,1,12,18,0.5,6.69,106,150,112,147,291,309,285
30,624431,"Trevino, Jose",1259,2.4,0.429,0,0.6,0.429,0.379,0.213,0.224,3,7,84.5,28,2401,90.3,90.4,6,16,14,0.10000000000000853,6.36,103,137,107,137,294,310,275
