Season,Age,Pitches,Batted Balls,Barrels,Barrel %,Barrel/PA,Exit Velocity,Max EV,Launch Angle,Sweet Spot %,XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%,ERA,xERA
2015,26,2791,526,25,4.8,3.3,87.0,113.5,7.3,29.3,.232,.362,.309,.306,.340,28.9,19.7,8.6,4.11,3.85
2016,27,2984,564,31,5.5,3.8,88.8,114.3,9.2,27.8,.247,.396,.345,.327,.343,35.1,17.3,10.7,4.62,4.55
2017,28,2752,472,19,4.0,2.6,85.9,116.1,5.9,32.0,.233,.356,.301,.285,.357,31.4,27.3,6.6,3.49,3.45
2019,30,408,60,5,8.3,4.8,87.1,111.1,11.9,46.7,.286,.491,.403,.389,.466,35.0,24.8,16.2,6.96,7.14
