Season,Age,Pitches,Batted Balls,Barrels,Barrel %,Barrel/PA,Exit Velocity,Max EV,Launch Angle,Sweet Spot %,XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%,ERA,xERA
2015,34,1152,213,13,6.1,4.2,88.8,110.8,10.8,31.5,.252,.402,.282,.298,.389,39.9,25.6,5.2,2.84,3.64
2016,35,1278,207,11,5.3,3.5,87.7,113.1,17.0,38.2,.223,.351,.248,.281,.343,30.4,25.4,8.3,2.48,3.28
