Season,Age,Pitches,Batted Balls,Barrels,Barrel %,Barrel/PA,Exit Velocity,Max EV,Launch Angle,Sweet Spot %,XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%,ERA,xERA
2015,25,1531,309,6,1.9,1.5,86.9,112.2,4.2,30.1,.261,.364,.277,.307,.331,28.5,15.8,6.2,3.35,3.88
2016,26,712,161,12,7.5,5.9,87.6,111.0,8.0,34.8,.293,.477,.369,.361,.376,33.5,11.3,9.4,6.02,5.71
2017,27,1209,230,11,4.8,3.5,88.5,110.8,9.5,34.3,.268,.422,.324,.332,.364,33.9,17.5,8.6,5.30,4.80
2019,29,107,14,2,14.3,7.4,93.5,110.5,7.5,35.7,.260,.556,.435,.405,.506,50.0,25.9,22.2,13.50,7.89
2020,30,292,37,0,0.0,0.0,86.5,109.0,15.7,24.3,.148,.194,.157,.227,.229,27.0,29.2,12.3,0.52,2.15
