Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2014,TOR,AL,30,0,0,5.40,5,1,0,6.2,5,4,4,1,5,4,1.50
2015,TOR,AL,103,1,1,3.86,5,5,0,23.1,23,11,10,3,12,18,1.50
2015,DET,AL,148,2,1,3.68,8,8,0,36.2,30,20,15,6,7,27,1.01
2015,2 Teams,,251,3,2,3.75,13,13,0,60.0,53,31,25,9,19,45,1.20
2016,DET,AL,302,4,2,3.38,14,13,0,69.1,75,30,26,10,22,71,1.40
2017,DET,AL,460,5,8,5.31,22,18,0,101.2,120,64,60,12,44,86,1.61
2018,DET,AL,200,0,5,5.68,11,8,0,44.1,46,28,28,8,19,51,1.47
2019,DET,AL,610,3,13,4.49,32,29,0,144.1,154,75,72,25,38,125,1.33
2020,DET,AL,116,3,1,3.25,14,1,0,27.2,25,10,10,2,7,28,1.16
2021,DET,AL,157,1,3,5.89,38,0,1,36.2,38,25,24,4,15,40,1.45
2021,MIL,NL,91,1,0,6.64,18,0,0,20.1,17,16,15,5,15,18,1.57
2021,2 Teams,,248,2,3,6.16,56,0,1,57.0,55,41,39,9,30,58,1.49
2022,CHC,NL,134,0,4,6.90,27,1,0,30.0,23,28,23,7,21,43,1.47
2022,DET,AL,116,2,0,3.45,14,2,0,28.2,22,11,11,4,8,23,1.05
