Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1994,LA,NL,148,0,5,6.21,27,0,6,29.0,45,21,20,0,15,22,2.07
1996,LA,NL,106,1,4,4.94,19,0,0,23.2,23,13,13,2,12,24,1.48
1997,LA,NL,265,5,2,2.86,48,0,4,63.0,45,21,20,3,34,63,1.25
1998,LA,NL,752,8,12,4.00,32,26,0,180.0,171,84,80,12,57,168,1.27
1999,LA,NL,773,13,13,4.79,30,29,0,178.2,177,105,95,20,76,140,1.42
2000,LA,NL,842,12,9,4.16,32,32,0,192.2,175,105,89,31,87,164,1.36
2001,LA,NL,416,4,7,5.13,16,16,0,94.2,89,62,54,11,47,91,1.44
2003,LA,NL,261,4,4,4.03,10,10,0,60.1,58,29,27,6,25,67,1.38
