Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2013,ATL,NL,46,1,0,0.82,2,2,0,11.0,11,1,1,0,1,14,1.09
2014,ATL,NL,383,4,5,3.30,45,6,0,87.1,89,38,32,5,39,44,1.47
2015,COL,NL,346,5,5,6.09,17,12,0,78.1,95,56,53,14,20,61,1.47
2016,COL,NL,12,0,0,13.50,2,0,0,2.0,4,3,3,1,2,1,3.00
2018,MIN,AL,16,0,0,12.00,1,0,0,3.0,4,4,4,1,4,2,2.67
2018,NYY,AL,46,0,0,2.53,3,0,0,10.2,12,3,3,2,1,6,1.22
2018,2 Teams,,62,0,0,4.61,4,0,0,13.2,16,7,7,3,5,8,1.54
2019,NYY,AL,157,3,0,3.11,20,0,2,37.2,39,13,13,2,7,23,1.22
2020,NYY,AL,26,0,0,3.00,5,0,1,6.0,7,2,2,0,3,7,1.67
2020,PHI,NL,49,0,0,4.09,6,2,0,11.0,16,5,5,2,1,7,1.55
2020,2 Teams,,75,0,0,3.71,11,2,1,17.0,23,7,7,2,4,14,1.59
