Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2002,SD,NL,430,6,7,4.52,17,17,0,97.2,106,54,49,11,33,90,1.42
2003,SD,NL,827,12,11,4.11,32,32,0,194.2,173,94,89,33,82,156,1.31
2004,SD,NL,694,15,6,2.27,27,27,0,166.1,146,49,42,13,53,173,1.20
2005,SD,NL,812,13,7,2.88,30,30,0,203.0,162,70,65,18,50,216,1.04
2006,SD,NL,846,11,14,4.09,32,32,0,202.1,187,93,92,23,62,215,1.23
2007,SD,NL,898,19,6,2.54,34,34,0,223.1,169,67,63,13,68,240,1.06
2008,SD,NL,709,10,11,2.85,27,27,0,173.2,146,57,55,17,59,166,1.18
2009,SD,NL,335,6,6,3.97,13,13,0,81.2,69,38,36,7,28,92,1.19
2009,CWS,AL,75,3,0,1.35,3,3,0,20.0,11,3,3,1,6,18,0.85
2009,2 Teams,,410,9,6,3.45,16,16,0,101.2,80,41,39,8,34,110,1.12
2010,CWS,AL,450,7,6,4.63,17,17,0,107.0,98,55,55,13,34,93,1.23
2011,CWS,AL,470,7,7,4.92,19,18,0,111.2,117,61,61,10,24,95,1.26
2012,CWS,AL,882,11,12,3.37,32,32,0,219.0,191,88,82,27,49,194,1.10
2013,CWS,AL,324,8,4,4.28,13,13,0,80.0,74,41,38,14,17,76,1.14
2013,BOS,AL,266,4,1,4.04,10,10,0,64.2,56,29,29,6,19,45,1.16
2013,2 Teams,,590,12,5,4.17,23,23,0,144.2,130,70,67,20,36,121,1.15
2014,BOS,AL,538,1,9,4.72,20,20,0,124.0,131,67,65,20,46,100,1.43
2014,SF,NL,314,6,4,2.17,12,12,0,78.2,65,24,19,3,17,58,1.04
2014,2 Teams,,852,7,13,3.73,32,32,0,202.2,196,91,84,23,63,158,1.28
2015,SF,NL,448,8,6,3.58,19,19,0,110.2,99,45,44,12,25,78,1.12
