Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2009,SEA,AL,191,5,4,4.50,41,0,0,46.0,45,23,23,9,9,41,1.17
2010,SEA,AL,112,3,1,3.96,22,0,0,25.0,26,11,11,5,12,26,1.52
2011,SEA,AL,47,0,0,0.00,10,0,0,12.2,7,0,0,0,3,10,0.79
2012,SEA,AL,190,2,4,3.25,47,0,0,44.1,43,20,16,5,15,45,1.31
2013,NYY,AL,227,4,2,4.39,57,0,0,53.1,47,28,26,8,23,71,1.31
2014,NYY,AL,220,3,6,4.53,59,0,4,51.2,45,26,26,5,20,67,1.26
2015,SD,NL,205,2,2,2.45,53,0,0,51.1,41,18,14,4,15,63,1.09
2016,WSH,NL,224,3,2,2.64,67,0,7,58.0,41,19,17,9,11,80,0.90
2017,WSH,NL,121,3,2,7.27,33,0,4,26.0,29,21,21,12,11,25,1.54
2018,WSH,NL,128,1,0,3.34,35,0,0,32.1,26,12,12,7,5,32,0.96
2018,OAK,AL,62,1,0,2.16,19,0,0,16.2,7,4,4,0,6,18,0.78
2018,2 Teams,,190,2,0,2.94,54,0,0,49.0,33,16,16,7,11,50,0.90
