Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2017,AZ,NL,115,2,3,5.96,8,4,0,25.2,26,17,17,1,10,25,1.40
2018,TB,AL,56,1,0,3.68,3,1,0,14.2,12,6,6,1,3,10,1.02
2019,TB,AL,18,0,0,6.75,3,0,0,4.0,6,3,3,0,0,2,1.50
2020,TB,AL,36,1,0,10.29,4,0,1,7.0,10,9,8,1,5,4,2.14
2021,NYM,NL,37,1,0,7.36,5,0,0,7.1,14,8,6,2,1,7,2.05
2021,PIT,NL,116,1,2,3.42,25,0,0,26.1,25,10,10,4,12,25,1.41
2021,2 Teams,,153,2,2,4.28,30,0,0,33.2,39,18,16,6,13,32,1.54
2022,PIT,NL,98,1,0,6.41,23,0,0,19.2,34,14,14,3,5,22,1.98
2022,TOR,AL,27,0,1,4.26,7,1,0,6.1,7,3,3,1,3,7,1.58
2022,NYY,AL,10,0,0,40.50,2,0,0,0.2,2,3,3,0,5,1,10.50
2022,3 Teams,,135,1,1,6.75,32,1,0,26.2,43,20,20,4,13,30,2.10
