Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2016,BAL,AL,15,0,0,13.50,2,0,0,3.1,5,5,5,2,1,3,1.80
2017,LAA,AL,492,10,3,3.64,21,20,0,121.0,115,52,49,19,30,73,1.20
