Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2008,NYY,AL,131,4,0,5.34,25,0,0,30.1,29,18,18,3,15,36,1.45
2009,NYY,AL,191,2,1,3.30,45,0,1,43.2,36,19,16,4,23,63,1.35
2010,NYY,AL,273,4,5,3.82,64,0,1,61.1,59,26,26,5,33,71,1.50
2011,NYY,AL,272,4,0,1.08,70,0,1,66.2,40,9,8,1,35,100,1.13
2012,NYY,AL,248,2,7,2.67,65,0,2,60.2,52,19,18,5,19,81,1.17
2013,NYY,AL,262,5,1,2.04,70,0,3,66.1,51,15,15,5,18,77,1.04
2014,NYY,AL,259,4,5,3.08,63,0,39,64.1,45,23,22,7,23,96,1.06
2015,CWS,AL,250,6,5,3.41,60,0,34,63.1,46,27,24,7,13,86,0.93
2016,CWS,AL,267,5,3,3.47,62,0,37,62.1,53,24,24,6,32,75,1.36
2017,CWS,AL,132,4,2,2.70,31,0,13,33.1,21,10,10,4,11,47,0.96
2017,NYY,AL,132,5,0,1.03,30,0,1,35.0,14,4,4,2,12,51,0.74
2017,2 Teams,,264,9,2,1.84,61,0,14,68.1,35,14,14,6,23,98,0.85
2018,NYY,AL,283,8,3,3.23,69,0,5,69.2,46,30,25,7,26,91,1.03
2019,PHI,NL,33,0,1,5.40,7,0,0,6.2,8,4,4,1,6,6,2.10
2021,TB,AL,50,0,0,4.50,12,1,0,12.0,11,7,6,2,4,16,1.25
2022,CHC,NL,165,3,0,2.23,36,0,14,40.1,23,10,10,4,19,51,1.04
2022,PHI,NL,99,1,3,2.70,22,0,6,23.1,16,8,7,2,16,30,1.37
2022,2 Teams,,264,4,3,2.40,58,0,20,63.2,39,18,17,6,35,81,1.16
