Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2000,PIT,NL,338,2,6,6.40,20,12,0,71.2,88,61,51,10,36,50,1.73
2001,PIT,NL,390,5,7,5.09,24,13,0,88.1,99,54,50,12,34,39,1.51
2002,PIT,NL,123,2,1,4.00,9,4,0,27.0,30,14,12,1,15,22,1.67
2003,BOS,AL,66,0,0,2.08,6,0,1,17.1,10,5,4,0,4,14,0.81
2004,BOS,AL,764,10,9,4.03,32,29,0,178.2,171,99,80,17,47,142,1.22
2005,BOS,AL,878,14,10,4.51,35,32,0,205.1,213,116,103,22,54,100,1.30
2006,CIN,NL,992,14,11,3.29,35,35,0,240.2,222,98,88,31,64,184,1.19
2007,CIN,NL,921,9,15,4.23,34,34,0,210.2,232,109,99,28,63,156,1.40
2008,CIN,NL,871,15,11,4.77,34,34,0,200.0,219,116,106,29,68,163,1.44
2009,CIN,NL,923,15,13,3.84,33,33,0,220.1,214,101,94,31,65,127,1.27
2010,CIN,NL,880,17,10,3.88,33,33,0,215.2,188,95,93,29,59,121,1.15
2011,CIN,NL,855,9,12,5.07,32,32,0,199.0,227,119,112,46,45,108,1.37
2012,CIN,NL,835,12,10,3.74,32,32,0,202.0,209,86,84,26,35,129,1.21
2013,CIN,NL,823,14,12,3.79,32,32,0,202.0,199,88,85,32,34,124,1.15
2014,AZ,NL,357,7,4,4.08,14,14,0,86.0,92,40,39,10,19,47,1.29
