Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2012,AZ,NL,133,1,3,5.83,6,6,0,29.1,30,20,19,6,13,21,1.47
2013,AZ,NL,170,2,3,5.12,7,7,0,38.2,38,23,22,7,15,36,1.37
2014,LAA,AL,464,5,5,4.30,18,18,0,113.0,107,59,54,9,30,86,1.21
2016,LAA,AL,219,3,4,4.17,10,10,0,49.2,51,23,23,5,23,50,1.49
2017,LAA,AL,365,2,6,4.55,16,16,0,85.0,90,46,43,13,28,76,1.39
2018,LAA,AL,533,8,10,4.02,24,24,0,125.1,127,60,56,14,40,129,1.33
