Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2006,CWS,AL,93,0,0,8.31,21,0,1,17.1,21,18,16,2,15,15,2.08
2007,CWS,AL,226,2,1,4.97,68,0,0,50.2,59,30,28,7,20,35,1.56
2008,CWS,AL,197,2,3,5.95,55,0,0,42.1,57,31,28,7,14,42,1.68
2009,ATL,NL,82,1,1,5.19,20,0,0,17.1,21,12,10,1,9,10,1.73
2010,NYY,AL,169,2,0,2.93,51,0,0,40.0,34,13,13,3,20,38,1.35
2011,NYY,AL,185,5,3,3.46,64,0,0,41.2,43,20,16,4,13,46,1.34
2012,NYY,AL,239,7,2,3.74,80,0,1,55.1,48,23,23,6,28,68,1.37
2013,NYY,AL,159,5,2,3.23,61,0,0,39.0,33,15,14,7,13,50,1.18
2014,COL,NL,116,2,3,6.84,35,0,0,25.0,31,20,19,6,11,32,1.68
2015,COL,NL,168,0,3,4.33,60,0,0,35.1,40,17,17,3,17,44,1.61
2016,COL,NL,187,2,5,3.69,66,0,1,46.1,27,23,19,4,20,57,1.01
2017,CLE,AL,91,1,0,4.71,38,0,0,21.0,20,13,11,2,9,28,1.38
