Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1999,CHC,NL,579,5,9,5.05,27,21,0,130.0,140,80,73,28,52,70,1.48
2000,CHC,NL,371,2,9,6.43,46,5,1,77.0,90,58,55,14,50,74,1.82
2001,CHC,NL,339,4,6,2.74,76,0,2,82.0,65,26,25,8,29,107,1.15
2002,CHC,NL,213,4,6,7.33,45,0,1,46.2,53,47,38,9,24,46,1.65
2003,CHC,NL,312,3,2,3.30,77,0,0,76.1,53,31,28,6,36,92,1.17
2004,CHC,NL,298,4,5,4.73,72,0,0,66.2,67,39,35,10,33,78,1.50
2005,DET,AL,174,1,1,2.32,46,0,6,42.2,29,12,11,1,20,55,1.15
2005,ATL,NL,103,0,0,1.98,26,0,10,27.1,15,6,6,4,7,32,0.80
2005,2 Teams,,277,1,1,2.19,72,0,16,70.0,44,18,17,5,27,87,1.01
2006,NYY,AL,289,3,6,4.36,72,0,6,66.0,62,34,32,8,28,75,1.36
2007,NYY,AL,266,2,1,4.80,64,0,0,60.0,60,35,32,9,27,48,1.45
2008,NYY,AL,185,1,2,3.65,45,0,1,44.1,43,18,18,11,17,43,1.35
2008,DET,AL,76,1,1,6.75,16,0,0,16.0,27,14,12,4,5,18,2.00
2008,2 Teams,,261,2,3,4.48,61,0,1,60.1,70,32,30,15,22,61,1.52
2009,KC,AL,168,1,5,4.58,41,0,0,37.1,43,22,19,3,14,42,1.53
2010,KC,AL,185,3,0,2.42,37,0,0,44.2,40,13,12,2,12,36,1.16
2010,ATL,NL,82,0,2,5.40,23,0,0,20.0,15,12,12,2,7,25,1.10
2010,2 Teams,,267,3,2,3.34,60,0,0,64.2,55,25,24,4,19,61,1.14
2011,TB,AL,231,5,1,2.18,63,0,25,57.2,45,15,14,5,12,51,0.99
2012,TB,AL,120,1,6,4.00,34,0,0,27.0,22,13,12,1,14,25,1.33
2013,TB,AL,129,2,0,5.76,39,0,0,29.2,37,19,19,4,7,19,1.48
2013,PIT,NL,33,1,1,1.04,9,0,2,8.2,6,1,1,1,3,9,1.04
2013,2 Teams,,162,3,1,4.70,48,0,2,38.1,43,20,20,5,10,28,1.38
2014,NYM,NL,71,0,3,3.18,19,0,3,17.0,18,6,6,2,6,10,1.41
2014,HOU,AL,57,0,0,6.17,16,0,0,11.2,14,8,8,0,9,8,1.97
