Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2021,TEX,AL,127,0,0,8.44,19,0,0,26.2,31,25,25,3,13,26,1.65
2021,AZ,NL,111,3,2,6.56,28,0,0,23.1,31,22,17,3,12,15,1.84
