Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2015,PHI,NL,318,6,2,3.59,13,13,0,77.2,74,31,31,11,19,68,1.20
2016,PHI,NL,483,6,9,4.78,20,20,0,111.0,116,68,59,10,29,121,1.31
2017,PHI,NL,693,12,11,3.54,27,27,0,168.0,154,67,66,18,49,184,1.21
2018,PHI,NL,831,17,6,2.37,33,33,0,212.1,149,57,56,17,58,224,0.97
2019,PHI,NL,852,12,7,3.87,34,34,0,202.1,176,91,87,27,80,229,1.27
2020,PHI,NL,289,5,5,3.28,12,12,0,71.1,54,31,26,9,23,96,1.08
2021,PHI,NL,749,9,9,4.63,32,32,0,180.2,165,95,93,26,39,223,1.13
2022,PHI,NL,807,11,13,3.25,32,32,0,205.0,168,75,74,19,29,235,0.96
