Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2011,PIT,NL,46,0,1,4.09,12,0,0,11.0,9,5,5,1,4,10,1.18
2012,PIT,NL,316,2,2,2.85,66,0,2,75.2,65,30,24,7,22,50,1.15
2013,PIT,NL,148,2,3,4.78,29,0,0,32.0,37,17,17,2,16,23,1.66
2014,PIT,NL,256,7,5,1.96,63,0,0,64.1,51,21,14,4,19,36,1.09
2015,PIT,NL,284,3,1,2.28,76,0,0,67.0,70,21,17,3,19,36,1.33
2016,PIT,NL,257,1,1,3.03,67,0,1,59.1,62,24,20,6,22,34,1.42
2017,MIL,NL,244,5,3,3.02,67,0,1,59.2,49,21,20,4,24,48,1.22
2018,CIN,NL,298,4,3,1.94,72,0,7,78.2,57,17,17,4,23,59,1.02
2019,CIN,NL,199,3,4,4.10,47,0,1,48.1,41,27,22,6,19,34,1.24
2019,PHI,NL,90,2,1,3.91,25,0,0,23.0,16,10,10,7,8,20,1.04
2019,2 Teams,,289,5,5,4.04,72,0,1,71.1,57,37,32,13,27,54,1.18
