Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2011,CWS,AL,18,0,0,0.00,2,0,0,5.1,1,0,0,0,1,2,0.38
2012,CWS,AL,306,4,1,3.33,42,4,4,70.1,54,26,26,10,40,79,1.34
2013,CWS,AL,656,4,9,3.56,34,23,0,149.0,137,69,59,17,72,137,1.40
2014,LAA,AL,544,6,9,3.75,30,24,0,127.1,120,63,53,15,53,108,1.36
2015,LAA,AL,776,9,9,3.59,33,32,0,180.2,156,80,72,29,71,162,1.26
2016,LAA,AL,515,10,4,4.25,22,22,0,120.2,104,61,57,20,57,107,1.33
2016,MIN,AL,270,3,6,5.58,11,11,0,61.1,65,39,38,13,22,37,1.42
2016,2 Teams,,785,13,10,4.70,33,33,0,182.0,169,100,95,33,79,144,1.36
2017,MIN,AL,311,4,8,5.63,15,14,0,70.1,70,44,44,15,31,51,1.44
2018,CWS,AL,460,6,3,4.41,49,7,2,102.0,101,54,50,16,60,103,1.58
2019,NYM,NL,38,1,0,6.75,8,0,0,8.0,10,6,6,1,5,6,1.88
2019,CWS,AL,125,0,1,6.66,11,2,0,25.2,32,20,19,7,17,34,1.91
2019,2 Teams,,163,1,1,6.68,19,2,0,33.2,42,26,25,8,22,40,1.90
