Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2002,KC,AL,353,3,4,4.64,34,7,0,77.2,85,41,40,8,37,67,1.57
2003,KC,AL,533,7,6,3.93,36,18,4,126.0,126,58,55,12,38,98,1.30
2004,KC,AL,344,3,4,4.95,38,8,13,76.1,91,49,42,6,32,49,1.61
2005,KC,AL,232,0,2,5.26,49,0,0,49.2,56,35,29,3,29,39,1.71
2006,KC,AL,320,4,6,5.91,27,9,0,70.0,71,51,46,9,42,28,1.61
2006,COL,NL,128,4,2,6.91,27,0,1,27.1,31,23,21,4,13,20,1.61
2006,2 Teams,,448,8,8,6.20,54,9,1,97.1,102,74,67,13,55,48,1.61
2007,COL,NL,253,4,3,3.51,75,0,0,59.0,47,26,23,3,33,46,1.36
2008,CIN,NL,335,1,1,3.33,74,0,0,78.1,78,36,29,9,25,80,1.31
2009,SF,NL,248,2,2,1.73,74,0,0,62.1,42,14,12,3,31,55,1.17
2010,SF,NL,228,4,3,4.14,53,0,4,50.0,56,25,23,4,24,44,1.60
2011,SF,NL,259,3,2,2.63,67,0,3,61.2,47,22,18,5,24,54,1.15
2012,SF,NL,267,1,2,2.70,67,0,3,63.1,57,23,19,1,23,57,1.26
2013,SF,NL,146,1,5,3.74,39,0,0,33.2,27,14,14,2,17,21,1.31
2014,SF,NL,225,4,2,2.28,62,0,0,55.1,47,14,14,1,14,41,1.10
