Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2010,SEA,AL,24,0,1,11.25,4,0,0,4.0,6,5,5,2,6,5,3.00
2011,ATL,NL,96,0,2,2.63,18,0,0,24.0,15,7,7,3,11,23,1.08
2012,ATL,NL,76,1,1,5.40,12,0,0,16.2,16,11,10,2,9,21,1.50
2013,ATL,NL,306,3,1,2.82,62,0,1,73.1,68,25,23,3,25,43,1.27
2014,ATL,NL,218,3,3,2.63,61,0,0,54.2,46,18,16,5,13,50,1.08
