Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2006,MIN,AL,232,3,6,5.76,10,9,0,50.0,62,33,32,6,23,38,1.70
2007,MIN,AL,367,5,7,3.69,16,15,0,83.0,96,44,34,8,32,67,1.54
2008,TB,AL,772,11,9,3.70,30,30,0,184.2,170,83,76,19,59,128,1.24
2009,TB,AL,861,8,12,3.95,32,32,0,203.0,177,93,89,25,79,189,1.26
2010,TB,AL,855,15,10,3.91,33,32,1,204.2,193,94,89,28,63,150,1.25
2011,CHC,NL,839,10,10,3.32,31,31,0,198.0,186,90,73,14,63,197,1.26
2012,CHC,NL,424,5,7,3.91,18,18,0,103.2,90,48,45,15,32,96,1.18
2013,CHC,NL,293,6,1,3.17,11,11,0,71.0,61,26,25,8,20,62,1.14
2013,TEX,AL,359,4,5,4.38,13,13,0,84.1,89,47,41,12,22,74,1.32
2013,2 Teams,,652,10,6,3.82,24,24,0,155.1,150,73,66,20,42,136,1.24
2014,MIL,NL,680,8,8,3.64,27,27,0,163.1,143,77,66,12,50,126,1.18
2015,MIL,NL,666,6,14,5.63,26,25,0,148.2,176,102,93,23,57,104,1.57
2016,MIL,NL,461,6,8,4.51,19,19,0,101.2,117,67,51,11,36,70,1.50
