Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2000,CHC,NL,426,4,3,5.17,18,18,0,94.0,117,59,54,13,37,63,1.64
2000,MON,NL,16,0,0,9.00,1,1,0,3.0,5,3,3,0,3,0,2.67
2000,2 Teams,,442,4,3,5.29,19,19,0,97.0,122,62,57,13,40,63,1.67
2003,MON,NL,17,0,1,15.00,1,1,0,3.0,5,5,5,2,3,4,2.67
2004,MON,NL,284,3,6,5.14,12,12,0,63.0,79,47,36,9,23,38,1.62
2005,TOR,AL,407,4,3,4.31,26,13,0,94.0,93,49,45,12,34,75,1.35
2006,TOR,AL,327,6,2,4.09,59,5,1,77.0,73,38,35,9,30,61,1.34
2007,TOR,AL,239,4,2,2.17,81,0,1,58.0,47,15,14,3,24,57,1.22
2008,TOR,AL,290,0,3,1.78,66,0,5,70.2,54,15,14,3,27,57,1.15
2009,TOR,AL,200,1,3,3.09,48,0,9,46.2,46,18,16,4,13,43,1.26
2010,TOR,AL,241,5,5,2.64,67,0,0,61.1,47,19,18,3,14,48,0.99
2011,LAA,AL,218,6,3,1.34,60,0,1,53.2,39,11,8,3,15,35,1.01
2012,LAA,AL,194,1,1,3.15,57,0,9,45.2,43,17,16,3,17,32,1.31
2013,LAA,AL,122,2,3,1.84,43,0,0,29.1,26,7,6,1,11,22,1.26
2013,ATL,NL,67,2,1,3.86,25,0,0,14.0,19,6,6,0,8,15,1.93
2013,2 Teams,,189,4,4,2.49,68,0,0,43.1,45,13,12,1,19,37,1.48
2014,CWS,AL,108,0,2,6.08,38,0,1,23.2,24,17,16,1,15,22,1.65
2014,KC,AL,57,0,2,3.14,17,0,0,14.1,12,7,5,1,5,3,1.19
