Season,Age,Pitches,Batted Balls,Barrels,Barrel %,Barrel/PA,Exit Velocity,Max EV,Launch Angle,Sweet Spot %,XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%,ERA,xERA
2018,26,2398,442,28,6.3,4.5,85.7,113.1,16.3,36.7,.253,.406,.314,.317,.364,26.9,20.4,8.0,3.91,4.27
2019,27,2057,416,29,7.0,5.2,84.9,112.1,15.2,35.3,.250,.390,.273,.291,.347,26.2,20.8,3.6,4.13,3.69
2020,28,834,171,10,5.8,4.3,82.6,115.9,10.9,42.1,.253,.390,.301,.307,.344,25.1,18.8,5.1,3.56,3.98
2021,29,2488,500,39,7.8,6.0,84.8,117.4,17.3,37.6,.272,.436,.325,.322,.372,28.2,17.9,4.1,5.11,4.42
2022,30,1355,261,19,7.3,5.4,85.1,111.4,17.2,32.6,.251,.413,.345,.324,.352,31.0,17.2,6.2,4.50,4.40
