Season,Age,Pitches,Batted Balls,Barrels,Barrel %,Barrel/PA,Exit Velocity,Max EV,Launch Angle,Sweet Spot %,XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%,ERA,xERA
2017,22,192,24,2,8.3,4.5,90.2,110.7,-1.2,29.2,.246,.408,.397,.346,.418,33.3,27.3,18.2,7.71,5.27
2018,23,2173,347,15,4.3,2.8,87.9,111.4,9.5,25.9,.202,.311,.247,.260,.322,32.0,27.9,6.8,2.62,2.81
2019,24,2838,478,26,5.4,3.5,89.3,111.3,12.8,34.5,.228,.369,.270,.277,.365,36.4,29.2,5.0,3.26,3.33
2020,25,600,93,6,6.5,4.1,90.0,110.4,19.5,28.0,.213,.390,.261,.290,.370,36.6,28.6,7.5,3.44,3.53
2021,26,3152,545,37,6.8,4.5,88.2,114.4,11.1,29.2,.218,.345,.255,.272,.336,37.1,26.0,6.4,2.47,3.08
