Season,Age,Pitches,Batted Balls,Barrels,Barrel %,Barrel/PA,Exit Velocity,Max EV,Launch Angle,Sweet Spot %,XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%,ERA,xERA
2016,22,713,127,3,2.4,1.6,89.6,113.2,4.7,31.5,.236,.344,.281,.281,.330,37.8,22.7,8.1,2.42,3.28
2017,23,2049,417,21,5.0,3.8,86.3,117.0,6.9,33.8,.280,.443,.344,.340,.368,32.5,14.9,7.7,5.19,5.06
2018,24,1283,242,12,5.0,3.5,88.3,110.1,8.8,30.2,.229,.358,.300,.291,.331,34.6,20.3,8.1,4.28,3.55
2019,25,1072,188,7,3.7,2.5,86.0,108.4,12.6,29.8,.229,.349,.326,.291,.323,30.9,21.6,8.6,4.67,3.69
2020,26,278,53,6,11.3,8.5,88.8,112.9,13.5,35.8,.318,.607,.459,.428,.454,49.1,12.7,11.3,9.64,8.74
2021,27,427,92,5,5.4,4.2,86.3,111.8,7.4,30.4,.280,.427,.302,.334,.360,31.5,14.3,5.9,3.77,4.79
