name,url
Jimmy Nelson,https://baseballsavant.mlb.com/savant-player/jimmy-nelson-519076?stats=statcast-r-pitching-mlb
Jimmy Yacabonis,https://baseballsavant.mlb.com/savant-player/jimmy-yacabonis-642231?stats=statcast-r-pitching-mlb
JoJo Romero,https://baseballsavant.mlb.com/savant-player/jojo-romero-668941?stats=statcast-r-pitching-mlb
Joba Chamberlain,https://baseballsavant.mlb.com/savant-player/joba-chamberlain-501955?stats=statcast-r-pitching-mlb
Joe Blanton,https://baseballsavant.mlb.com/savant-player/joe-blanton-430599?stats=statcast-r-pitching-mlb
Joe Kelly,https://baseballsavant.mlb.com/savant-player/joe-kelly-523260?stats=statcast-r-pitching-mlb
Joe Kennedy,https://baseballsavant.mlb.com/savant-player/joe-kennedy-406773?stats=career-r-pitching-mlb
Joe Mantiply,https://baseballsavant.mlb.com/savant-player/joe-mantiply-573009?stats=statcast-r-pitching-mlb
Joe Musgrove,https://baseballsavant.mlb.com/savant-player/joe-musgrove-605397?stats=statcast-r-pitching-mlb
Joe Ryan,https://baseballsavant.mlb.com/savant-player/joe-ryan-657746?stats=statcast-r-pitching-mlb
Joe Smith,https://baseballsavant.mlb.com/savant-player/joe-smith-501925?stats=statcast-r-pitching-mlb
Joey Wentz,https://baseballsavant.mlb.com/savant-player/joey-wentz-666214?stats=statcast-r-pitching-mlb
John Axford,https://baseballsavant.mlb.com/savant-player/john-axford-446099?stats=statcast-r-pitching-mlb
John Brebbia,https://baseballsavant.mlb.com/savant-player/john-brebbia-605154?stats=statcast-r-pitching-mlb
John Cornely,https://baseballsavant.mlb.com/savant-player/john-cornely-607405?stats=statcast-r-pitching-mlb
John Curtiss,https://baseballsavant.mlb.com/savant-player/john-curtiss-595928?stats=statcast-r-pitching-mlb
John Danks,https://baseballsavant.mlb.com/savant-player/john-danks-433579?stats=statcast-r-pitching-mlb
John Gant,https://baseballsavant.mlb.com/savant-player/john-gant-607231?stats=statcast-r-pitching-mlb
John Lackey,https://baseballsavant.mlb.com/savant-player/john-lackey-407793?stats=statcast-r-pitching-mlb
John Lannan,https://baseballsavant.mlb.com/savant-player/john-lannan-458709?stats=career-r-pitching-mlb
John Means,https://baseballsavant.mlb.com/savant-player/john-means-607644?stats=statcast-r-pitching-mlb
John Schreiber,https://baseballsavant.mlb.com/savant-player/john-schreiber-670167?stats=statcast-r-pitching-mlb
John Smoltz,https://baseballsavant.mlb.com/savant-player/john-smoltz-122477?stats=career-r-pitching-mlb
Jon Edwards,https://baseballsavant.mlb.com/savant-player/jon-edwards-457754?stats=statcast-r-pitching-mlb
Jon Gray,https://baseballsavant.mlb.com/savant-player/jon-gray-592351?stats=statcast-r-pitching-mlb
Jon Harris,https://baseballsavant.mlb.com/savant-player/jon-harris-622247?stats=career-r-pitching-milb
Jon Lester,https://baseballsavant.mlb.com/savant-player/jon-lester-452657?stats=statcast-r-pitching-mlb
Jon Moscot,https://baseballsavant.mlb.com/savant-player/jon-moscot-621209?stats=statcast-r-pitching-mlb
Jonathan Broxton,https://baseballsavant.mlb.com/savant-player/jonathan-broxton-455009?stats=statcast-r-pitching-mlb
Jonathan Niese,https://baseballsavant.mlb.com/savant-player/jonathon-niese-477003?stats=statcast-r-pitching-mlb
Jonathan Papelbon,https://baseballsavant.mlb.com/savant-player/jonathan-papelbon-449097?stats=statcast-r-pitching-mlb
Jonathan Pettibone,https://baseballsavant.mlb.com/savant-player/jonathan-pettibone-543643?stats=career-r-pitching-mlb
Jonny Venters,https://baseballsavant.mlb.com/savant-player/jonny-venters-458924?stats=statcast-r-pitching-mlb
Jordan Hicks,https://baseballsavant.mlb.com/savant-player/jordan-hicks-663855?stats=statcast-r-pitching-mlb
Jordan Lyles,https://baseballsavant.mlb.com/savant-player/jordan-lyles-543475?stats=statcast-r-pitching-mlb
Jordan Montgomery,https://baseballsavant.mlb.com/savant-player/jordan-montgomery-656756?stats=statcast-r-pitching-mlb
Jordan Romano,https://baseballsavant.mlb.com/savant-player/jordan-romano-605447?stats=statcast-r-pitching-mlb
Jordan Scheftz,https://baseballsavant.mlb.com/savant-player/jordan-scheftz-670269?stats=career-r-pitching-milb
Jordan Smith,https://baseballsavant.mlb.com/savant-player/jordan-smith-502136?stats=career-r-pitching-mlb
Jordan Stephens,https://baseballsavant.mlb.com/savant-player/jordan-stephens-596111?stats=career-r-pitching-milb
Jordan Walden,https://baseballsavant.mlb.com/savant-player/jordan-walden-477229?stats=statcast-r-pitching-mlb
Jordan Watson,https://baseballsavant.mlb.com/savant-player/jordan-watson-670038?stats=career-r-pitching-milb
Jordan Zimmermann,https://baseballsavant.mlb.com/savant-player/jordan-zimmermann-519455?stats=statcast-r-pitching-mlb
Jorge Lopez,https://baseballsavant.mlb.com/savant-player/jorge-lopez-605347?stats=statcast-r-pitching-mlb
