,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Matt Thaiss,Los Angeles Angels,Cole Ragans,Texas Rangers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
1,Matt Thaiss,Los Angeles Angels,Dane Dunning,Texas Rangers,4,2,0,0,0,0,1,0,1,.500,.600,.500,1.100
2,Matt Thaiss,Los Angeles Angels,Martin Perez,Texas Rangers,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
3,Matt Thaiss,Los Angeles Angels,Josh Sborz,Texas Rangers,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
4,Matt Thaiss,Los Angeles Angels,Grant Anderson,Texas Rangers,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
5,Matt Thaiss,Los Angeles Angels,Tony Gonsolin,Los Angeles Dodgers,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
6,Matt Thaiss,Los Angeles Angels,Ryan Brasier,Los Angeles Dodgers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
7,Matt Thaiss,Los Angeles Angels,Michael Grove,Los Angeles Dodgers,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
8,Matt Thaiss,Los Angeles Angels,Bryan Hudson,Los Angeles Dodgers,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
9,Matt Thaiss,Los Angeles Angels,Tanner Houck,Boston Red Sox,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
10,Matt Thaiss,Los Angeles Angels,Brayan Bello,Boston Red Sox,3,1,0,0,1,1,0,0,1,.333,.333,1.333,1.666
11,Matt Thaiss,Los Angeles Angels,Richard Bleier,Boston Red Sox,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
12,Matt Thaiss,Los Angeles Angels,Ryan Brasier,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
13,Matt Thaiss,Los Angeles Angels,Kutter Crawford,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
14,Matt Thaiss,Los Angeles Angels,Justin Garza,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
15,Matt Thaiss,Los Angeles Angels,Nick Pivetta,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.500,.000,.500
16,Matt Thaiss,Los Angeles Angels,Jack Flaherty,St. Louis Cardinals,2,2,0,0,0,2,0,0,0,1.000,1.000,1.000,2.000
17,Matt Thaiss,Los Angeles Angels,Jake Woodford,St. Louis Cardinals,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
18,Matt Thaiss,Los Angeles Angels,JoJo Romero,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
19,Matt Thaiss,Los Angeles Angels,Drew VerHagen,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
20,Matt Thaiss,Los Angeles Angels,Zac Gallen,Arizona Diamondbacks,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
21,Matt Thaiss,Los Angeles Angels,Miguel Castro,Arizona Diamondbacks,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
22,Matt Thaiss,Los Angeles Angels,Kevin Ginkel,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
23,Matt Thaiss,Los Angeles Angels,Scott McGough,Arizona Diamondbacks,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
24,Matt Thaiss,Los Angeles Angels,Ryne Nelson,Arizona Diamondbacks,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
25,Matt Thaiss,Los Angeles Angels,Anthony Bass,Toronto Blue Jays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
26,Matt Thaiss,Los Angeles Angels,Jose Berrios,Toronto Blue Jays,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
27,Matt Thaiss,Los Angeles Angels,Trevor Richards,Toronto Blue Jays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
28,Matt Thaiss,Los Angeles Angels,Dean Kremer,Baltimore Orioles,3,2,0,0,0,0,0,0,0,.667,.667,.667,1.334
29,Matt Thaiss,Los Angeles Angels,Kyle Bradish,Baltimore Orioles,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
30,Matt Thaiss,Los Angeles Angels,Logan Gillaspie,Baltimore Orioles,2,1,1,0,0,1,0,0,1,.500,.500,1.000,1.500
31,Matt Thaiss,Los Angeles Angels,Bryan Baker,Baltimore Orioles,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
32,Matt Thaiss,Los Angeles Angels,Danny Coulombe,Baltimore Orioles,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
33,Matt Thaiss,Los Angeles Angels,Cionel Perez,Baltimore Orioles,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
34,Matt Thaiss,Los Angeles Angels,Grayson Rodriguez,Baltimore Orioles,1,0,0,0,0,0,1,0,1,.000,.500,.000,.500
35,Matt Thaiss,Los Angeles Angels,Brandon Hughes,Chicago Cubs,1,1,0,0,0,2,0,0,0,1.000,1.000,1.000,2.000
36,Matt Thaiss,Los Angeles Angels,Michael Fulmer,Chicago Cubs,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
37,Matt Thaiss,Los Angeles Angels,Michael Rucker,Chicago Cubs,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
