,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Michael Conforto,San Francisco Giants,Nick Robertson,Los Angeles Dodgers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
1,Michael Conforto,San Francisco Giants,Tony Gonsolin,Los Angeles Dodgers,2,0,0,0,0,1,0,0,0,.000,.000,.000,.000
2,Michael Conforto,San Francisco Giants,Victor Gonzalez,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
3,Michael Conforto,San Francisco Giants,Brusdar Graterol,Los Angeles Dodgers,1,0,0,0,0,0,1,0,1,.000,.500,.000,.500
4,Michael Conforto,San Francisco Giants,Clayton Kershaw,Los Angeles Dodgers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Michael Conforto,San Francisco Giants,Dustin May,Los Angeles Dodgers,2,0,0,0,0,0,1,0,1,.000,.333,.000,.333
6,Michael Conforto,San Francisco Giants,Bobby Miller,Los Angeles Dodgers,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,Michael Conforto,San Francisco Giants,Evan Phillips,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
8,Michael Conforto,San Francisco Giants,Tayler Scott,Los Angeles Dodgers,0,0,0,0,0,0,1,1,0,.000,1.000,.000,1.000
9,Michael Conforto,San Francisco Giants,Emmet Sheehan,Los Angeles Dodgers,1,0,0,0,0,0,1,0,1,.000,.500,.000,.500
10,Michael Conforto,San Francisco Giants,Jack Flaherty,St. Louis Cardinals,3,3,1,0,0,3,0,0,0,1.000,1.000,1.333,2.333
11,Michael Conforto,San Francisco Giants,Chris Stratton,St. Louis Cardinals,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
12,Michael Conforto,San Francisco Giants,Zack Thompson,St. Louis Cardinals,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
13,Michael Conforto,San Francisco Giants,Genesis Cabrera,St. Louis Cardinals,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
14,Michael Conforto,San Francisco Giants,Jake Woodford,St. Louis Cardinals,4,1,0,0,0,0,0,0,1,.250,.250,.250,.500
15,Michael Conforto,San Francisco Giants,Giovanny Gallegos,St. Louis Cardinals,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
16,Michael Conforto,San Francisco Giants,Jordan Hicks,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
17,Michael Conforto,San Francisco Giants,Matthew Liberatore,St. Louis Cardinals,2,0,0,0,0,0,1,0,1,.000,.333,.000,.333
18,Michael Conforto,San Francisco Giants,Steven Matz,St. Louis Cardinals,5,0,0,0,0,0,0,0,2,.000,.000,.000,.000
19,Michael Conforto,San Francisco Giants,Miles Mikolas,St. Louis Cardinals,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
20,Michael Conforto,San Francisco Giants,Jordan Montgomery,St. Louis Cardinals,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
21,Michael Conforto,San Francisco Giants,Andre Pallante,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
22,Michael Conforto,San Francisco Giants,Drew VerHagen,St. Louis Cardinals,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
23,Michael Conforto,San Francisco Giants,Drey Jameson,Arizona Diamondbacks,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
24,Michael Conforto,San Francisco Giants,Merrill Kelly,Arizona Diamondbacks,1,1,1,0,0,1,2,0,0,1.000,1.000,2.000,3.000
25,Michael Conforto,San Francisco Giants,Joe Mantiply,Arizona Diamondbacks,1,1,1,0,0,2,0,0,0,1.000,1.000,2.000,3.000
26,Michael Conforto,San Francisco Giants,Andrew Chafin,Arizona Diamondbacks,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
27,Michael Conforto,San Francisco Giants,Zach Davies,Arizona Diamondbacks,2,1,1,0,0,2,0,0,0,.500,.500,1.000,1.500
28,Michael Conforto,San Francisco Giants,Anthony Misiewicz,Arizona Diamondbacks,2,1,1,0,0,0,0,0,0,.500,.500,1.000,1.500
29,Michael Conforto,San Francisco Giants,Ryne Nelson,Arizona Diamondbacks,4,2,1,0,1,1,1,0,0,.500,.600,1.500,2.100
30,Michael Conforto,San Francisco Giants,Brandon Pfaadt,Arizona Diamondbacks,2,1,0,0,1,1,0,0,1,.500,.500,2.000,2.500
31,Michael Conforto,San Francisco Giants,Zac Gallen,Arizona Diamondbacks,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
32,Michael Conforto,San Francisco Giants,Tommy Henry,Arizona Diamondbacks,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
33,Michael Conforto,San Francisco Giants,Scott McGough,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
34,Michael Conforto,San Francisco Giants,Kyle Nelson,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
35,Michael Conforto,San Francisco Giants,Jose Ruiz,Arizona Diamondbacks,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
36,Michael Conforto,San Francisco Giants,Derek Law,Cincinnati Reds,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
37,Michael Conforto,San Francisco Giants,Luke Weaver,Cincinnati Reds,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
