Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2011,AZ,NL,122,1,0,2.54,33,0,0,28.1,30,9,8,2,8,24,1.34
2012,AZ,NL,252,1,6,3.49,64,0,2,59.1,60,29,23,4,24,41,1.42
2013,CLE,AL,316,7,3,3.24,70,0,1,75.0,60,31,27,4,28,73,1.17
2014,CLE,AL,313,5,5,2.59,80,0,2,76.1,61,26,22,6,22,64,1.09
2015,CLE,AL,265,3,3,2.95,74,0,2,64.0,59,24,21,8,19,54,1.22
2016,CLE,AL,275,2,5,3.24,75,0,1,66.2,56,26,24,8,28,69,1.26
2017,CLE,AL,312,4,6,3.52,79,0,3,76.2,71,36,30,5,22,73,1.21
2018,COL,NL,257,4,6,5.93,61,0,0,54.2,70,43,36,9,28,54,1.79
2019,COL,NL,311,3,2,5.38,70,0,1,72.0,69,44,43,12,29,58,1.36
2020,SEA,AL,38,1,0,18.00,6,0,0,6.0,13,12,12,1,6,4,3.17
2021,CLE,AL,334,6,7,3.49,81,0,2,77.1,69,33,30,10,38,71,1.38
