Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2008,WSH,NL,63,0,0,7.82,11,0,0,12.2,17,13,11,4,5,10,1.74
2009,WSH,NL,33,0,1,6.14,4,1,0,7.1,6,6,5,1,4,9,1.36
2010,MIL,NL,58,0,0,9.53,7,1,0,11.1,14,13,12,3,6,13,1.76
2011,MIL,NL,381,4,8,4.08,43,7,0,92.2,83,45,42,11,29,88,1.21
2012,MIL,NL,562,5,7,3.64,29,23,0,138.1,129,62,56,18,29,143,1.14
2013,MIL,NL,512,7,4,3.87,21,21,0,128.0,109,56,55,19,29,118,1.08
2014,MIL,NL,624,7,6,4.36,39,18,0,150.2,137,77,73,29,44,127,1.20
2015,TOR,AL,725,13,8,3.13,34,28,0,181.0,134,67,63,24,55,131,1.04
2016,TOR,AL,723,9,9,3.48,29,29,0,176.0,132,73,68,23,65,165,1.12
2017,TOR,AL,806,10,9,4.98,33,33,0,186.0,186,104,103,31,71,176,1.38
2018,TOR,AL,627,7,14,5.64,28,28,0,143.2,155,91,90,29,50,103,1.43
