Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2015,MIL,NL,139,3,2,3.71,6,6,0,34.0,26,14,14,2,15,24,1.21
2016,MIL,NL,682,11,7,3.97,28,28,0,163.1,166,79,72,20,38,135,1.25
2017,MIL,NL,817,17,9,3.90,33,33,0,191.1,204,90,83,20,55,124,1.35
2018,MIL,NL,280,2,7,4.77,13,13,0,66.0,67,36,35,8,21,49,1.33
2019,MIL,NL,672,10,7,3.55,31,31,0,159.2,155,73,63,20,51,102,1.29
2020,SD,NL,276,7,4,2.73,12,12,0,69.1,55,26,21,9,19,63,1.07
2021,CHC,NL,668,6,12,5.78,32,32,0,148.0,162,99,95,25,75,114,1.60
2022,AZ,NL,570,2,5,4.09,27,27,0,134.1,122,66,61,21,52,102,1.30
