Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2010,CWS,AL,235,2,2,2.96,56,0,1,51.2,53,18,17,2,26,56,1.53
2011,CWS,AL,260,4,5,3.55,63,0,30,63.1,41,25,25,6,29,92,1.11
2012,TOR,AL,24,0,1,9.00,6,0,2,5.0,6,5,5,1,4,4,2.00
2013,TOR,AL,90,1,1,1.75,29,0,1,25.2,11,5,5,1,4,28,0.58
2014,TOR,AL,106,0,3,8.57,26,0,5,21.0,28,22,20,5,18,29,2.19
2015,LAD,NL,61,0,0,4.73,12,0,0,13.1,13,7,7,2,7,15,1.50
2015,NYY,AL,12,0,0,6.00,2,0,0,3.0,3,2,2,1,0,3,1.00
