Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2012,MIA,NL,40,0,0,3.86,11,0,0,9.1,8,4,4,2,4,13,1.29
2013,MIA,NL,338,3,4,3.15,68,0,0,80.0,58,32,28,4,43,86,1.26
2014,MIA,NL,270,7,0,2.11,68,0,0,64.0,36,16,15,1,43,73,1.23
2015,MIA,NL,277,2,4,2.30,71,0,32,70.1,45,18,18,6,26,87,1.01
2016,MIA,NL,278,1,4,2.81,67,0,40,64.0,52,21,20,1,35,73,1.36
2017,MIA,NL,171,2,4,3.63,40,0,20,39.2,30,17,16,4,22,47,1.31
2017,NYM,NL,87,0,0,4.74,21,0,7,19.0,19,10,10,3,12,25,1.63
2017,2 Teams,,258,2,4,3.99,61,0,27,58.2,49,27,26,7,34,72,1.41
2018,NYM,NL,88,2,2,6.41,28,0,0,19.2,17,14,14,3,15,22,1.63
2020,COL,NL,15,0,0,3.38,3,0,0,2.2,4,1,1,1,3,1,2.63
