Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2010,WSH,NL,274,5,3,2.91,12,12,0,68.0,56,25,22,5,17,92,1.07
2011,WSH,NL,88,1,1,1.50,5,5,0,24.0,15,5,4,0,2,24,0.71
2012,WSH,NL,653,15,6,3.16,28,28,0,159.1,136,62,56,15,48,197,1.15
2013,WSH,NL,731,8,9,3.00,30,30,0,183.0,136,71,61,16,56,191,1.05
2014,WSH,NL,868,14,11,3.14,34,34,0,215.0,198,86,75,23,43,242,1.12
2015,WSH,NL,523,11,7,3.46,23,23,0,127.1,115,56,49,14,26,155,1.11
2016,WSH,NL,598,15,4,3.60,24,24,0,147.2,119,59,59,15,44,183,1.10
2017,WSH,NL,701,15,4,2.52,28,28,0,175.1,131,55,49,13,47,204,1.02
2018,WSH,NL,544,10,7,3.74,22,22,0,130.0,118,59,54,18,38,156,1.20
2019,WSH,NL,841,18,6,3.32,33,33,0,209.0,161,79,77,24,56,251,1.04
2020,WSH,NL,23,0,1,10.80,2,2,0,5.0,8,6,6,1,1,2,1.80
2021,WSH,NL,95,1,2,4.57,5,5,0,21.2,16,12,11,4,14,21,1.38
