Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2004,COL,NL,164,3,2,5.15,7,7,0,36.2,42,22,21,8,13,32,1.50
2005,COL,NL,828,14,12,5.68,33,33,0,183.2,228,119,116,26,70,128,1.62
2006,COL,NL,843,13,11,4.16,32,32,0,199.0,187,101,92,18,69,117,1.29
2007,COL,NL,922,17,9,4.22,34,34,0,215.1,234,103,101,25,63,165,1.38
2008,COL,NL,636,4,10,5.01,24,24,0,143.2,164,84,80,21,49,94,1.48
2010,COL,NL,441,4,6,5.00,20,19,0,104.1,119,61,58,11,23,67,1.36
2011,KC,AL,803,6,16,4.82,31,31,0,183.0,224,102,98,19,39,91,1.44
2012,COL,NL,502,6,7,5.58,24,24,0,113.0,145,71,70,15,22,76,1.48
2013,COL,NL,324,3,5,6.27,23,12,0,70.1,89,54,49,12,24,63,1.61
2014,CIN,NL,20,0,1,5.40,1,1,0,5.0,5,3,3,1,0,4,1.00
2014,OAK,AL,55,0,1,6.08,9,0,1,13.1,11,9,9,1,3,10,1.05
2014,NYY,AL,7,1,0,5.40,2,0,0,1.2,2,1,1,1,0,1,1.20
2014,3 Teams,,82,1,2,5.85,12,1,1,20.0,18,13,13,3,3,15,1.05
