Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2012,NYM,NL,245,3,5,2.73,10,10,0,59.1,42,19,18,5,26,70,1.15
2013,NYM,NL,690,9,5,2.27,26,26,0,178.1,135,46,45,7,31,191,0.93
2015,NYM,NL,755,13,8,2.71,29,29,0,189.1,156,62,57,18,37,188,1.02
2016,NYM,NL,402,4,10,4.86,17,17,0,92.2,111,55,50,8,25,76,1.47
2017,NYM,NL,431,5,7,6.70,19,18,0,92.2,110,70,69,21,47,67,1.69
2018,NYM,NL,123,0,2,7.00,8,4,0,27.0,33,21,21,6,9,20,1.56
2018,CIN,NL,540,7,7,4.50,24,24,0,128.0,132,66,64,21,28,111,1.25
2018,2 Teams,,663,7,9,4.94,32,28,0,155.0,165,87,85,27,37,131,1.30
2019,LAA,AL,266,3,5,7.09,12,12,0,59.2,63,48,47,13,29,39,1.54
2020,KC,AL,65,0,3,11.57,7,4,0,11.2,27,15,15,6,5,10,2.74
