Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1993,SEA,AL,95,1,3,9.53,13,3,1,17.0,28,20,18,3,17,8,2.65
1994,HOU,NL,181,2,1,3.70,44,0,0,41.1,46,19,17,4,16,24,1.50
1995,HOU,NL,641,9,8,3.35,24,24,0,150.2,141,73,56,13,49,115,1.26
1996,HOU,NL,691,10,10,3.59,27,27,0,160.1,175,79,64,12,49,101,1.40
1997,HOU,NL,941,15,10,3.83,34,34,0,223.0,217,105,95,16,77,139,1.32
1998,HOU,NL,917,11,7,3.36,32,32,0,211.2,227,92,79,18,81,137,1.46
1999,HOU,NL,979,22,4,2.90,34,34,0,239.0,206,86,77,12,101,177,1.28
2000,NYM,NL,929,15,10,3.14,33,33,0,217.2,194,89,76,10,99,151,1.35
2001,COL,NL,904,14,13,5.41,32,32,0,203.0,236,138,122,31,85,122,1.58
2002,COL,NL,838,7,15,6.15,30,30,0,178.2,228,135,122,24,91,74,1.79
2003,ATL,NL,823,14,8,3.84,31,31,0,190.0,186,91,81,14,78,110,1.39
2004,ATL,NL,760,13,9,4.28,29,29,0,172.1,198,86,82,15,65,87,1.53
2005,ATL,NL,284,5,3,3.50,12,12,0,69.1,74,28,27,5,18,27,1.33
2008,ATL,NL,331,3,4,4.85,13,13,0,78.0,83,45,42,10,28,38,1.42
2009,HOU,NL,494,7,10,5.30,21,21,0,112.0,128,71,66,13,46,74,1.55
