Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2007,PHI,NL,21,0,1,11.25,1,1,0,4.0,7,5,5,3,2,5,2.25
2008,PHI,NL,138,1,0,3.69,8,4,0,31.2,28,13,13,3,14,26,1.33
2009,PHI,NL,685,12,4,2.93,35,23,0,166.0,149,55,54,20,56,119,1.23
2010,PHI,NL,70,1,0,1.76,3,3,0,15.1,13,4,3,1,12,9,1.63
2010,HOU,NL,304,5,4,3.75,13,13,0,72.0,60,33,30,7,35,61,1.32
2010,2 Teams,,374,6,4,3.40,16,16,0,87.1,73,37,33,8,47,70,1.37
2011,HOU,NL,698,6,15,5.35,28,28,0,156.1,157,103,93,21,83,134,1.54
2012,HOU,NL,457,7,9,4.83,18,18,0,104.1,112,58,56,17,39,98,1.45
2012,TOR,AL,170,3,2,4.69,10,6,0,40.1,35,21,21,2,17,46,1.29
2012,2 Teams,,627,10,11,4.79,28,24,0,144.2,147,79,77,19,56,144,1.40
2013,TOR,AL,415,5,7,4.56,18,18,0,92.2,91,53,47,10,45,77,1.47
2014,TOR,AL,673,11,11,4.22,30,26,0,158.0,160,79,74,22,51,133,1.34
2015,SEA,AL,468,4,6,4.64,21,20,0,108.2,121,58,56,13,32,82,1.41
2015,PIT,NL,249,7,2,1.85,11,11,0,63.1,52,13,13,3,13,69,1.03
2015,2 Teams,,717,11,8,3.61,32,31,0,172.0,173,71,69,16,45,151,1.27
2016,TOR,AL,796,20,4,3.18,32,32,0,195.0,168,72,69,22,60,163,1.17
2017,TOR,AL,626,10,11,3.53,25,25,0,145.1,145,64,57,18,46,142,1.31
2018,TOR,AL,475,10,6,4.18,20,20,0,114.0,99,61,53,17,35,130,1.18
2018,NYY,AL,258,7,0,2.69,11,11,0,63.2,51,20,19,10,16,63,1.05
2018,2 Teams,,733,17,6,3.65,31,31,0,177.2,150,81,72,27,51,193,1.13
2019,NYY,AL,678,12,8,4.91,31,30,0,161.1,160,88,88,34,49,140,1.30
2020,NYY,AL,196,2,2,3.47,9,9,0,49.1,37,19,19,8,15,42,1.05
2021,MIN,AL,445,5,6,6.77,19,19,0,98.1,125,76,74,21,31,77,1.59
2021,STL,NL,226,5,2,4.00,11,11,0,54.0,52,24,24,9,17,45,1.28
