Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2013,WSH,NL,204,7,1,1.51,14,5,0,53.2,38,11,9,1,11,40,0.91
2014,WSH,NL,798,15,10,2.85,31,31,0,198.2,178,64,63,16,39,138,1.09
2015,WSH,NL,467,4,7,4.38,40,12,1,111.0,119,55,54,17,26,70,1.31
2016,WSH,NL,855,16,10,2.83,34,33,0,210.0,173,72,66,17,73,172,1.17
2017,WSH,NL,776,13,11,4.67,32,30,0,181.1,178,105,94,23,64,166,1.33
2018,WSH,NL,760,9,15,4.34,31,30,0,180.1,181,90,87,24,50,146,1.28
2019,CIN,NL,484,6,7,4.24,21,21,0,110.1,119,55,52,14,38,108,1.42
2019,OAK,AL,238,4,3,4.58,10,10,0,55.0,61,29,28,14,13,50,1.35
2019,2 Teams,,722,10,10,4.35,31,31,0,165.1,180,84,80,28,51,158,1.40
2020,TOR,AL,220,2,3,6.80,11,11,0,47.2,60,39,36,14,23,41,1.74
