Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2008,TEX,AL,63,0,2,16.36,3,3,0,11.0,23,20,20,4,3,9,2.36
2009,TEX,AL,475,9,6,4.10,19,19,0,112.0,113,55,51,13,33,64,1.30
2010,TEX,AL,536,13,4,3.73,23,22,0,128.0,126,55,53,21,33,68,1.24
2011,TEX,AL,62,1,1,2.93,8,0,0,15.1,12,6,5,1,5,10,1.11
2011,BAL,AL,305,3,3,5.06,12,11,0,69.1,88,44,39,11,10,35,1.41
2011,2 Teams,,367,4,4,4.68,20,11,0,84.2,100,50,44,12,15,45,1.36
2012,BAL,AL,573,7,8,5.45,33,20,0,133.2,161,85,81,32,27,77,1.41
2013,BAL,AL,336,6,5,2.81,68,0,4,86.1,71,28,27,11,14,68,0.98
2014,BAL,AL,241,3,2,2.97,60,0,11,60.2,55,22,20,4,12,45,1.10
2015,BAL,AL,180,2,2,3.63,39,0,0,44.2,41,19,18,3,11,32,1.16
2015,CHC,NL,69,2,0,5.74,19,0,1,15.2,20,10,10,4,3,15,1.47
2015,2 Teams,,249,4,2,4.18,58,0,1,60.1,61,29,28,7,14,47,1.24
2016,CLE,AL,90,2,2,3.74,21,0,0,21.2,21,10,9,1,5,17,1.20
2016,BAL,AL,49,0,0,2.19,12,0,0,12.1,14,3,3,0,3,6,1.38
2016,2 Teams,,139,2,2,3.18,33,0,0,34.0,35,13,12,1,8,23,1.26
2017,TB,AL,228,3,5,2.61,61,0,1,58.2,43,18,17,6,14,64,0.97
2018,PHI,NL,270,5,4,3.80,65,0,4,64.0,65,28,27,6,15,51,1.25
2019,PHI,NL,18,0,0,0.00,5,0,0,5.1,2,0,0,0,0,5,0.38
2020,PHI,NL,102,0,1,4.01,24,0,1,24.2,22,11,11,2,6,25,1.14
2021,NYM,NL,33,0,0,0.00,4,1,0,8.0,4,0,0,0,3,6,0.88
2022,NYM,NL,94,0,1,2.42,18,0,0,22.1,21,8,6,4,6,22,1.21
