Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2000,FLA,NL,35,1,0,5.40,1,1,0,6.2,11,4,4,0,2,3,1.95
2001,FLA,NL,115,2,2,6.08,6,5,0,26.2,30,18,18,6,11,17,1.54
2004,CWS,AL,203,2,3,7.40,8,8,0,45.0,52,38,37,11,20,26,1.60
2005,DET,AL,63,1,1,3.38,3,2,0,16.0,14,6,6,1,6,5,1.25
2006,DET,AL,270,2,3,4.21,51,0,0,62.0,61,31,29,6,25,31,1.39
2007,DET,AL,352,5,3,4.74,57,0,0,79.2,81,46,42,5,32,62,1.42
2008,DET,AL,59,0,1,3.29,9,0,0,13.2,12,5,5,1,7,10,1.39
2008,COL,NL,264,3,2,2.93,51,0,1,61.1,55,22,20,1,31,59,1.40
2008,2 Teams,,323,3,3,3.00,60,0,1,75.0,67,27,25,2,38,69,1.40
2009,COL,NL,99,0,1,6.05,22,0,1,19.1,29,13,13,2,13,22,2.17
2009,TEX,AL,113,2,2,4.78,30,0,0,26.1,21,14,14,2,14,27,1.33
2009,2 Teams,,212,2,3,5.32,52,0,1,45.2,50,27,27,4,27,49,1.69
2011,PIT,NL,140,2,1,2.48,28,0,1,32.2,24,10,9,2,15,37,1.19
2012,PIT,NL,244,1,6,2.91,64,0,2,58.2,45,20,19,7,22,90,1.14
2013,PIT,NL,202,0,2,2.70,54,0,33,50.0,40,15,15,4,13,74,1.06
2014,PIT,NL,93,0,2,4.87,22,0,11,20.1,22,11,11,4,11,21,1.62
2014,LAA,AL,142,1,3,3.48,40,0,1,33.2,29,15,13,0,10,36,1.16
2014,2 Teams,,235,1,5,4.00,62,0,12,54.0,51,26,24,4,21,57,1.33
2015,ATL,NL,140,3,4,2.94,36,0,24,33.2,28,13,11,2,10,45,1.13
2016,ATL,NL,81,1,2,5.29,21,0,2,17.0,16,11,10,2,13,23,1.71
2016,TOR,AL,170,6,4,3.64,46,0,2,42.0,28,17,17,8,19,58,1.12
2016,2 Teams,,251,7,6,4.12,67,0,4,59.0,44,28,27,10,32,81,1.29
2017,TOR,AL,95,2,4,6.97,26,0,1,20.2,24,17,16,9,9,23,1.60
2017,TEX,AL,89,0,1,5.59,20,0,0,19.1,22,13,12,3,9,25,1.60
