Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2012,STL,NL,54,1,0,1.32,6,1,0,13.2,9,2,2,0,4,16,0.95
2013,STL,NL,722,15,9,3.06,31,31,0,173.1,152,65,59,20,57,169,1.21
2014,STL,NL,764,10,9,3.74,32,31,0,183.0,160,78,76,22,73,127,1.27
2015,ATL,NL,860,6,17,3.02,33,33,0,205.1,183,82,69,13,73,171,1.25
2016,AZ,NL,460,3,12,6.15,20,20,0,101.0,127,72,69,14,42,70,1.67
2017,AZ,NL,99,2,2,4.09,4,4,0,22.0,20,10,10,1,12,20,1.45
2018,AZ,NL,79,0,4,10.69,5,4,0,16.0,24,21,19,5,8,19,2.00
2019,TEX,AL,220,1,3,8.59,19,8,0,44.0,58,46,42,8,29,30,1.98
2021,CHC,NL,18,0,0,31.50,3,0,0,2.0,7,7,7,0,5,1,6.00
2021,PIT,NL,44,0,1,5.06,10,0,0,10.2,9,6,6,3,6,7,1.41
2021,2 Teams,,62,0,1,9.24,13,0,0,12.2,16,13,13,3,11,8,2.13
2022,SF,NL,30,0,1,6.43,4,0,0,7.0,6,5,5,0,3,14,1.29
