Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2019,OAK,AL,47,2,0,3.18,10,0,0,11.1,10,4,4,1,5,13,1.32
2021,OAK,AL,65,0,3,6.08,12,0,0,13.1,18,9,9,1,6,16,1.80
2022,OAK,AL,281,4,3,3.12,62,0,4,66.1,53,27,23,7,23,76,1.15
