Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2009,SD,NL,318,2,4,3.24,72,0,1,75.0,62,29,27,3,31,93,1.24
2010,SD,NL,297,4,7,3.22,80,0,2,78.1,47,30,28,8,18,89,0.83
2011,SD,NL,241,3,3,2.75,61,0,0,55.2,57,23,17,2,19,34,1.37
2012,SD,NL,294,2,0,2.39,77,0,9,71.2,57,19,19,7,21,72,1.09
2013,SD,NL,268,6,8,2.71,73,0,4,66.1,49,24,20,3,18,64,1.01
2014,OAK,AL,284,5,5,2.12,72,0,3,72.1,58,20,17,6,15,59,1.01
2015,HOU,AL,239,7,3,3.10,64,0,31,61.0,48,24,21,5,10,59,0.95
2016,HOU,AL,230,4,3,3.28,59,0,15,57.2,38,23,21,5,18,67,0.97
2017,HOU,AL,263,2,3,4.57,65,0,1,61.0,62,31,31,13,20,70,1.34
2018,STL,NL,57,0,0,7.11,17,0,0,12.2,14,10,10,2,6,12,1.58
