Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2007,CLE,AL,207,4,2,4.56,9,9,0,49.1,54,26,25,2,12,25,1.34
2008,CLE,AL,409,5,7,4.23,16,16,0,93.2,103,52,44,10,31,43,1.43
2009,CLE,AL,539,7,9,4.44,25,19,1,121.2,140,69,60,9,57,59,1.62
2010,CLE,AL,253,2,3,4.53,29,5,0,55.2,62,30,28,1,28,28,1.62
2011,SEA,AL,197,1,1,4.01,36,0,0,42.2,54,20,19,7,16,24,1.64
2011,NYY,AL,50,2,1,3.38,11,0,0,10.2,13,4,4,0,5,6,1.69
2011,2 Teams,,247,3,2,3.88,47,0,0,53.1,67,24,23,7,21,30,1.65
2012,TOR,AL,429,4,6,4.56,22,16,0,100.2,100,56,51,17,37,48,1.36
2013,NYM,NL,50,0,0,7.20,4,2,0,10.0,16,8,8,1,5,9,2.10
2013,TOR,AL,14,0,0,6.75,1,1,0,2.2,2,2,2,0,5,0,2.63
2013,2 Teams,,64,0,0,7.11,5,3,0,12.2,18,10,10,1,10,9,2.21
