Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2015,TB,AL,95,3,1,2.31,17,0,0,23.1,16,7,6,4,10,18,1.11
2021,MIA,NL,19,0,0,13.50,3,0,0,3.1,6,5,5,0,2,4,2.40
2022,PHI,NL,230,4,4,3.31,59,1,2,54.1,47,25,20,5,25,78,1.33
