Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2005,TOR,AL,32,0,0,0.00,5,0,0,8.0,6,0,0,0,4,4,1.25
2006,TOR,AL,357,3,4,5.06,21,14,0,78.1,87,44,44,14,38,65,1.60
2007,TOR,AL,660,12,6,4.13,38,25,1,159.0,149,76,73,27,49,122,1.25
2008,TOR,AL,630,9,7,3.39,25,25,0,151.1,126,60,57,21,50,123,1.16
2010,TOR,AL,800,13,8,3.64,31,31,0,195.1,181,84,79,24,43,165,1.15
2011,MIL,NL,823,13,7,3.54,33,33,0,200.2,175,84,79,22,57,158,1.16
2012,MIL,NL,527,7,4,3.70,21,21,0,124.0,116,57,51,16,41,109,1.27
2013,NYM,NL,334,1,10,5.29,14,12,0,78.1,85,48,46,7,21,60,1.35
