Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2013,MIN,AL,315,3,3,3.87,49,0,0,76.2,71,37,33,5,27,49,1.28
2014,MIN,AL,122,2,0,2.86,25,0,0,28.1,30,10,9,3,8,14,1.34
2015,MIN,AL,119,3,2,2.93,27,0,0,27.2,27,9,9,0,12,22,1.41
2016,MIN,AL,328,6,7,3.70,72,0,1,75.1,79,34,31,8,23,67,1.35
2017,MIN,AL,252,2,3,4.70,57,0,0,61.1,52,34,32,10,19,61,1.16
2018,MIN,AL,208,1,1,3.40,51,0,0,47.2,46,19,18,5,19,69,1.36
2018,HOU,AL,84,1,0,0.77,26,0,2,23.1,11,2,2,1,3,32,0.60
2018,2 Teams,,292,2,1,2.54,77,0,2,71.0,57,21,20,6,22,101,1.11
2019,HOU,AL,211,2,3,2.32,55,0,3,54.1,37,15,14,6,12,72,0.90
2020,HOU,AL,91,1,3,3.43,23,0,12,21.0,21,10,8,2,7,29,1.33
2021,HOU,AL,250,5,3,2.25,64,0,26,64.0,49,19,16,4,13,81,0.97
2022,HOU,AL,182,3,3,2.98,50,0,33,48.1,30,17,16,4,13,65,0.89
