Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2006,BAL,AL,21,0,1,24.00,1,1,0,3.0,9,8,8,1,3,0,4.00
2007,BAL,AL,11,0,0,9.00,1,0,0,2.0,3,2,2,0,2,1,2.50
2008,BAL,AL,281,2,4,2.23,54,0,1,68.2,54,18,17,0,28,38,1.19
2009,BAL,AL,300,4,6,4.11,64,0,10,70.0,73,32,32,8,23,49,1.37
2010,BAL,AL,117,1,1,3.42,26,0,1,26.1,32,11,10,2,5,22,1.41
2011,BAL,AL,366,6,5,2.67,69,0,9,91.0,80,30,27,5,21,58,1.11
2012,BAL,AL,269,2,1,2.49,71,0,51,68.2,55,21,19,3,15,41,1.02
2013,BAL,AL,291,3,8,2.94,74,0,50,70.1,72,26,23,5,18,56,1.28
2014,OAK,AL,200,4,2,7.14,38,0,2,40.1,60,33,32,5,23,28,2.06
2014,DET,AL,63,1,0,6.92,16,0,0,13.0,9,13,10,0,12,14,1.62
2014,2 Teams,,263,5,2,7.09,54,0,2,53.1,69,46,42,5,35,42,1.95
2015,ATL,NL,196,2,3,2.25,49,0,9,48.0,45,14,12,2,14,33,1.23
2015,LAD,NL,95,0,3,10.13,23,0,1,18.2,32,22,21,3,6,17,2.04
2015,2 Teams,,291,2,6,4.46,72,0,10,66.2,77,36,33,5,20,50,1.46
2016,ATL,NL,266,2,6,3.06,65,0,20,64.2,57,23,22,3,20,68,1.19
2017,ATL,NL,256,6,3,5.56,61,0,22,56.2,59,39,35,8,25,61,1.48
