Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2012,KC,AL,34,0,1,4.91,2,2,0,7.1,8,4,4,1,4,4,1.64
2013,TB,AL,122,0,1,3.94,7,4,1,29.2,28,13,13,3,8,22,1.21
2014,TB,AL,719,11,13,4.13,31,31,0,168.0,156,79,77,20,59,174,1.28
2015,TB,AL,700,9,9,3.35,28,28,0,169.1,149,65,63,18,46,150,1.15
2016,TB,AL,773,10,6,3.69,33,33,0,187.2,170,80,77,29,54,166,1.19
2017,TB,AL,604,10,8,4.14,28,28,0,143.1,117,80,66,30,61,127,1.24
2018,MIN,AL,711,7,10,4.49,32,32,0,164.1,151,89,82,20,70,162,1.34
2019,MIN,AL,658,15,7,3.51,30,30,0,159.0,139,65,62,16,53,178,1.21
2020,MIN,AL,60,0,1,6.59,4,4,0,13.2,16,10,10,4,3,12,1.39
2021,HOU,AL,441,6,7,4.21,24,23,0,104.2,97,51,49,16,34,91,1.25
2022,HOU,AL,245,4,3,3.75,12,12,0,60.0,52,29,25,5,17,46,1.15
2022,ATL,NL,208,2,3,5.24,10,10,0,46.1,54,29,27,9,18,40,1.55
