Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2003,CIN,NL,39,1,1,5.19,6,0,0,8.2,10,5,5,1,2,6,1.38
2005,CIN,NL,382,4,8,4.41,60,5,1,85.2,101,49,42,11,26,59,1.48
2006,CIN,NL,180,2,0,3.60,30,2,0,40.0,43,18,16,5,19,26,1.55
2007,CIN,NL,771,8,9,5.32,30,30,0,177.2,212,111,105,26,43,125,1.44
2008,CIN,NL,142,1,4,7.28,6,6,0,29.2,47,27,24,4,6,14,1.79
2009,COL,NL,133,3,1,5.52,24,0,0,31.0,35,21,19,6,5,22,1.29
2010,COL,NL,365,7,5,2.93,76,0,1,92.0,84,34,30,7,16,91,1.09
2011,COL,NL,301,10,4,3.25,74,0,0,72.0,77,33,26,5,14,58,1.26
2012,COL,NL,348,3,8,3.71,80,0,3,80.0,91,36,33,5,18,69,1.36
2013,COL,NL,301,5,7,4.32,72,0,0,73.0,76,37,35,6,15,62,1.25
2014,COL,NL,282,4,7,4.87,66,1,0,64.2,74,35,35,5,19,43,1.44
2015,STL,NL,149,1,1,2.67,34,0,0,33.2,34,10,10,1,15,25,1.46
2016,WSH,NL,186,0,0,1.76,40,0,0,46.0,43,13,9,2,7,32,1.09
2017,MIN,AL,247,2,2,4.03,62,0,9,60.1,48,31,27,7,22,54,1.16
2018,CLE,AL,44,0,0,5.06,8,0,0,10.2,9,6,6,1,1,4,0.94
2018,MIN,AL,118,1,1,9.13,25,0,0,23.2,40,26,24,5,10,21,2.11
