Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2006,MIN,AL,20,0,0,1.59,4,0,0,5.2,3,1,1,0,0,6,0.53
2007,MIN,AL,115,0,0,3.14,19,0,0,28.2,23,10,10,2,12,20,1.22
2008,MIN,AL,661,12,4,4.41,26,26,0,151.0,183,81,74,25,39,74,1.47
2009,MIN,AL,423,6,7,5.89,18,17,0,96.1,120,64,63,13,23,45,1.48
2010,MIN,AL,98,1,1,5.82,13,1,0,21.2,29,16,14,3,5,14,1.57
2011,MIN,AL,253,4,4,2.48,65,0,2,61.2,55,19,17,2,21,65,1.23
2012,MIN,AL,281,3,1,2.56,70,0,16,70.1,57,25,20,8,16,78,1.04
2013,MIN,AL,240,2,0,2.30,61,0,36,62.2,43,16,16,5,15,77,0.93
2014,MIN,AL,260,4,3,3.65,63,0,34,61.2,62,29,25,7,11,66,1.18
2015,MIN,AL,238,3,5,3.32,60,0,32,57.0,58,21,21,9,10,54,1.19
2016,MIN,AL,12,0,0,9.00,2,0,0,2.0,5,2,2,0,1,3,3.00
