Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2009,MIL,NL,34,0,0,3.52,7,0,1,7.2,5,3,3,0,6,9,1.43
2010,MIL,NL,238,8,2,2.48,50,0,24,58.0,42,17,16,1,27,76,1.19
2011,MIL,NL,305,2,2,1.95,74,0,46,73.2,59,19,16,4,25,86,1.14
2012,MIL,NL,310,5,8,4.67,75,0,35,69.1,61,42,36,10,39,93,1.44
2013,MIL,NL,245,6,7,4.45,62,0,0,54.2,62,29,27,10,23,54,1.55
2013,STL,NL,44,1,0,1.74,13,0,0,10.1,11,3,2,0,3,11,1.35
2013,2 Teams,,289,7,7,4.02,75,0,0,65.0,73,32,29,10,26,65,1.52
2014,CLE,AL,196,2,3,3.92,49,0,10,43.2,34,21,19,6,30,51,1.47
2014,PIT,NL,47,0,1,4.09,13,0,0,11.0,9,5,5,0,6,12,1.36
2014,2 Teams,,243,2,4,3.95,62,0,10,54.2,43,26,24,6,36,63,1.45
2015,COL,NL,250,4,5,4.20,60,0,25,55.2,56,27,26,4,32,62,1.58
2016,OAK,AL,289,6,4,3.97,68,0,3,65.2,65,30,29,6,30,60,1.45
2017,OAK,AL,109,0,1,6.43,22,0,0,21.0,27,16,15,3,17,21,2.10
2018,TOR,AL,211,4,1,4.41,45,1,0,51.0,44,27,25,6,20,50,1.25
2018,LAD,NL,22,0,0,17.18,5,0,0,3.2,8,8,7,0,2,4,2.73
2018,2 Teams,,233,4,1,5.27,50,1,0,54.2,52,35,32,6,22,54,1.35
