Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2006,LAA,AL,490,11,2,2.56,19,19,0,123.0,94,36,35,15,33,105,1.03
2007,LAA,AL,695,13,7,3.91,28,28,0,161.0,178,77,70,17,45,115,1.39
2008,LAA,AL,745,11,10,4.33,30,30,0,176.2,173,88,85,20,54,152,1.28
2009,LAA,AL,882,16,8,3.75,33,33,0,211.0,196,91,88,26,66,174,1.24
2010,LAA,AL,905,13,12,3.01,34,34,0,224.1,187,83,75,23,54,233,1.07
2011,LAA,AL,926,18,8,2.41,33,33,0,235.2,182,65,63,20,56,198,1.01
2012,LAA,AL,739,20,5,2.81,30,30,0,188.2,147,63,59,20,45,142,1.02
2013,LAA,AL,634,11,8,3.27,24,24,0,154.1,139,58,56,17,37,117,1.14
2014,LAA,AL,888,18,9,3.59,34,34,0,213.1,193,87,85,27,65,169,1.21
2015,LAA,AL,669,7,12,4.64,26,26,0,159.0,163,84,82,24,33,90,1.23
2016,LAA,AL,767,12,12,5.06,31,31,0,178.0,209,106,100,37,51,103,1.46
