Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2007,TOR,AL,478,7,9,3.81,20,20,0,111.0,116,56,47,14,36,50,1.37
2008,TOR,AL,735,13,9,3.58,29,28,0,176.0,178,79,70,20,39,99,1.23
2009,TOR,AL,42,0,1,9.00,2,2,0,9.0,14,9,9,4,1,8,1.67
2010,TOR,AL,202,1,5,5.79,9,9,0,46.2,53,30,30,7,15,16,1.46
